date,position,city,state,endorser,endorsee,endorser_party,source,order,category,body,district,points
NA,DNC member,NA,NY,Charlie King,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NY,Jay S. Jacobs,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NY,Emily Giske,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NY,Hector Figueroa,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NY,Hazel Duke,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NY,Jennifer Cunningham,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NY,Vivian Cook,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NY,Maria Cuomo Cole,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NY,Stuart H. Appelbaum,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NV,Allison A. Stephens,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NV,Marty McGarry,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NV,William McCurdy II,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NV,Alex Goff,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NV,Artie Blanco,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NM,Raymond Sanchez,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NM,Marcus Porter,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NM,Joni Marie Gutierrez,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NM,Marg Elliston,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NJ,Marguerite M. Schaffer,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NJ,George E. Norcross III,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NJ,Marcia Marley,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NJ,Tonio Burgos,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NH,Kathleen Sullivan,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NH,William H. Shaheen,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NH,Martha Fuller Clark,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NH,Raymond C. Buckley II,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NE,Patricia A. Zieg,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NE,Frank D. LaMere,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NE,Jane Erin Fleming Kleeb,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NE,Ron Kaminski,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,ND,Kylie Oversen,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,ND,Patrick M. Hart,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,ND,Ondine E. Baird,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NC,John R. Verdejo,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NC,Bobbie Richardson,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NC,Cliff Moone,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NC,Ray McKinnon,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NC,Shelia A. Huggins,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NC,Wayne Goodwin,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NC,Denise D. Adams,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MT,Mary Sexton,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MT,Jorge Quintana,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MT,Jean Lemire Dahlman,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MT,Bryce Bennett,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MS,Vicki R. Slater,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MS,Bobby Moak,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MS,Rae Shawn Davis,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MS,Will Colom,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MP,Michael A. White,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MP,Daniel O. Quitugua,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MP,Nola K. Hix,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MO,Curtis Wylde,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MO,Brian Wahby,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MO,Clem Smith,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MO,Megan E. Green,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MO,Persephone Dakopolos,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MO,Jean Peters Baker,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MO,Winston Apple,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MN,Elly Zaragoza,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MN,Lori A. Sellner,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MN,Suzie Nakasian,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MN,Ken Martin,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MN,Marge Hoffa,NA,D,NA,NA,DNC members,NA,NA,1
