state,name,date,open,high,low,close,volume
NH,Democratic,2019-07-17,0.75,0.75,0.74,0.75,2
NH,Republican,2019-07-18,0.26,0.26,0.26,0.26,103
NH,Democratic,2019-07-18,0.75,0.75,0.75,0.75,0
NH,Republican,2019-07-19,0.26,0.26,0.26,0.26,0
NH,Democratic,2019-07-19,0.75,0.75,0.75,0.75,0
NH,Republican,2019-07-20,0.26,0.26,0.25,0.26,26
NH,Democratic,2019-07-20,0.75,0.75,0.75,0.75,0
NH,Republican,2019-07-21,0.26,0.26,0.25,0.26,107
NH,Democratic,2019-07-21,0.75,0.75,0.75,0.75,26
NH,Republican,2019-07-22,0.26,0.26,0.26,0.26,0
NH,Democratic,2019-07-22,0.75,0.75,0.75,0.75,0
NH,Republican,2019-07-23,0.26,0.26,0.25,0.25,30
NH,Democratic,2019-07-23,0.75,0.75,0.75,0.75,0
NH,Republican,2019-07-24,0.25,0.25,0.24000000000000002,0.24000000000000002,572
NH,Democratic,2019-07-24,0.75,0.7799999999999999,0.75,0.7799999999999999,351
NH,Republican,2019-07-25,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0
NH,Democratic,2019-07-25,0.7799999999999999,0.7799999999999999,0.75,0.75,1
NH,Republican,2019-07-26,0.24000000000000002,0.25,0.24000000000000002,0.25,1
NH,Democratic,2019-07-26,0.75,0.7799999999999999,0.75,0.7799999999999999,10
NH,Republican,2019-07-27,0.25,0.25,0.25,0.25,0
NH,Democratic,2019-07-27,0.7799999999999999,0.7799999999999999,0.7799999999999999,0.7799999999999999,0
NH,Republican,2019-07-28,0.25,0.25,0.25,0.25,0
NH,Democratic,2019-07-28,0.7799999999999999,0.7799999999999999,0.7799999999999999,0.7799999999999999,0
NH,Republican,2019-07-29,0.25,0.25,0.25,0.25,0
NH,Democratic,2019-07-29,0.7799999999999999,0.7799999999999999,0.77,0.77,1
NH,Republican,2019-07-30,0.25,0.25,0.25,0.25,0
NH,Democratic,2019-07-30,0.77,0.7899999999999999,0.77,0.77,210
NH,Republican,2019-07-31,0.25,0.25,0.24000000000000002,0.24000000000000002,20
NH,Democratic,2019-07-31,0.77,0.7899999999999999,0.77,0.7799999999999999,2
NH,Republican,2019-08-01,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0
NH,Democratic,2019-08-01,0.7799999999999999,0.7799999999999999,0.7799999999999999,0.7799999999999999,0
NH,Republican,2019-08-02,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,6
NH,Democratic,2019-08-02,0.7799999999999999,0.8,0.77,0.77,1332
NH,Republican,2019-08-03,0.24000000000000002,0.24000000000000002,0.23,0.23,1
NH,Democratic,2019-08-03,0.77,0.77,0.77,0.77,1
NH,Republican,2019-08-04,0.23,0.24000000000000002,0.23,0.24000000000000002,9
NH,Democratic,2019-08-04,0.77,0.7799999999999999,0.77,0.7799999999999999,941
NH,Republican,2019-08-05,0.24000000000000002,0.24000000000000002,0.23,0.23,238
NH,Democratic,2019-08-05,0.7799999999999999,0.7799999999999999,0.7799999999999999,0.7799999999999999,0
NH,Republican,2019-08-06,0.23,0.23,0.23,0.23,0
