date,hits,geo,time,keyword,gprop,category
2019-04-13T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-14T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-15T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-16T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-17T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-18T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-19T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-20T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-21T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-22T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-23T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-24T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-25T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-26T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-27T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-28T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-29T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-04-30T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-01T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-02T00:00:00Z,18,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-03T00:00:00Z,31,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-04T00:00:00Z,5,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-05T00:00:00Z,6,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-06T00:00:00Z,4,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-07T00:00:00Z,3,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-08T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-09T00:00:00Z,4,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-10T00:00:00Z,3,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-11T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-12T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-13T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-14T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-15T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-16T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-17T00:00:00Z,3,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-18T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-19T00:00:00Z,1,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-20T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-21T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
2019-05-22T00:00:00Z,2,world,2019-01-01 2019-09-13,bennet,web,All categories
